name,longitude,latitude,description
Saint Bonaventure (1872-1883),-90.19247532,38.6225538,1872-1883. Italian. 6th and Spruce Sts.
Immaculate Conception (1853-1884),-90.1930402,38.6270644,Established 1853. First Location. Moved to Jefferson and Lucas 1872. English-Speaking. Formed from Cathedral parish.
Saint Francis Xavier (1841-1884),-90.1927093,38.6309151,"First location, 1841-1884. English-Speaking. Current location 3628 Lindell Blvd. Territory assumed by Old Cathedral, Saint Patrick, Saint John"
Immaculate Conception (1884-1902),-90.2128772,38.6358064,1874-1902. Second Location. Moved to Park and Cardinal 1908.
Saint Lawrence O'Toole (1855-1948),-90.1970422,38.6391037,1855-1948. Irish. Formed from Saint Patrick parish.
Annunciation (1859-1951),-90.1945908,38.617247,1859-1951. English-speaking. Merged into Saint Mary of Victories
Our Lady of Good Counsel (1894-1950),-90.197317,38.659497,1894-1950. English-speaking. Formed out of Saint Michael
Saint Elizabeth (1873-1951),-90.2173338,38.632934,"1873-1951. Second Location. First location at 14th and Gay Sts. African-American. Parish divided into Saint Malachy, Saint Nicholas, and Saint Bridget"
Ascension/Saint Paul (1945-2008),-90.2877822,38.6992903,"Established 1945. Merged with Saint Paul to become Ascension/Saint Paul 1995. Closed 2008. Formed from Saint Paul Pine Lawn. Territory divided among Saint Ann Normandy, Saint Elizabeth Mother of John the Baptist, Our Lady of the Holy Cross"
Saint Patrick (1981-2012),-90.1888867,38.6350206,"1981-2012. Second location of Saint Patrick. First location closed 1973. Final mass 2009, officially suppressed December 31, 2012. Territory merged with Saint Nicholas"
Saint Columbkille (1872-1952),-90.2656791,38.5450321,1872-1952. English-speaking. Formed out of Saints Mary and Joseph. Appears to have been absorbed into Saint Boniface
Saint Casimir (1889-1955),-90.18788338,38.64127712,"8th and Mullanphy. 1889-1955. Building razed for highway construction, parish moved to Saint Louis County. Formed out of Saint Stanislaus"
Our Lady of Czestochowa (1907-1957),-90.20354748,38.60092454,1907-1957. Polish. 317 Victor. Formed out of Saint Stanislaus
Saint Stephen of Hungary (1934-1957),-90.200686,38.618879,"1934-1957. Hungarian. Parish plant closes in 1956, but parishioners still met at Saint Mary of Victories"
Saint Malachy (1858-1959),-90.2218816,38.629725,"1858-1959. English-speaking. Formed from Saint John, Apostle and Evangelist parish"
Holy Ghost (1879-1961),-90.2467,38.660547,1879-1961. German-speaking
Assumption (1861-1964),-90.2084,38.6010635,1861-1965. English-speaking. Formed from Saint Vincent de Paul
Saint Joseph (1916-1969),-90.216086,38.6177805,1916-1970. Lithuanian
Saint Bernard (1874-1973),-90.249324,38.630467,1874-1973. German-speaking. Building razed 1973 for highway construction. Formed out of Saint Malachy and Saint Nicholas. 4109 Gratiot St. Saint Louis. Merged with Saint Cronan
